"","Country.Region","Confirmed","Deaths","Recovered","Rank"
"1","US",1103461,64943,164015,1
"2","Spain",236899,24543,132929,2
"3","Italy",207428,28236,78249,3
"4","UK",178685,27583,892,4
"5","France",169053,24628,51124,5
"6","Germany",164077,6736,126900,6
"7","Turkey",122392,3258,53808,7
"8","Russia",114431,1169,13220,8
"9","Iran",95646,6091,76318,9
"10","Brazil",92202,6412,38039,10
"11","Mainland China",82875,4633,77900,11
"12","Canada",56343,3537,22764,12
"13","Belgium",49032,7703,11892,13
"14","Peru",40459,1124,11129,14
"15","Netherlands",39989,4909,322,15
"16","India",37257,1223,10007,16
"17","Switzerland",29705,1754,23900,17
"18","Ecuador",26336,1063,1913,18
"19","Portugal",25351,1007,1647,19
"20","Saudi Arabia",24097,169,3555,20
"21","Sweden",21520,2653,1005,21
"22","Ireland",20833,1265,13386,22
"23","Mexico",20739,1972,12377,23
"24","Pakistan",18114,417,4715,24
"25","Singapore",17101,16,1268,25
"26","Chile",17008,234,9018,26
"27","Israel",16101,225,9156,27
"28","Austria",15531,589,13110,28
"29","Belarus",14917,93,2918,29
"30","Japan",14305,455,2975,30
"31","Qatar",14096,12,1436,31
"32","Poland",13105,651,3491,32
"33","United Arab Emirates",13038,111,2543,33
"34","Romania",12567,744,4328,34
"35","Ukraine",10861,272,1413,35
"36","South Korea",10780,250,9123,36
"37","Indonesia",10551,800,1591,37
"38","Denmark",9509,460,6924,38
"39","Serbia",9009,179,1343,39
"40","Philippines",8772,579,1084,40
"41","Bangladesh",8238,170,174,41
"42","Norway",7783,210,32,42
"43","Czech Republic",7737,240,3372,43
"44","Dominican Republic",7288,313,1387,44
"45","Colombia",7006,314,1551,45
"46","Australia",6778,93,5775,46
"47","Panama",6720,192,622,47
"48","Malaysia",6071,103,4210,48
"49","South Africa",5951,116,2382,49
"50","Egypt",5895,406,1460,50
"51","Finland",5051,218,3000,51
"52","Morocco",4569,171,1083,52
"53","Argentina",4532,225,1292,53
"54","Kuwait",4377,30,1602,54
"55","Algeria",4154,453,1821,55
"56","Moldova",3980,122,1272,56
"57","Luxembourg",3802,92,3213,57
"58","Kazakhstan",3597,25,922,58
"59","Bahrain",3170,8,1555,59
"60","Thailand",2960,54,2719,60
"61","Hungary",2863,323,609,61
"62","Greece",2612,140,1374,62
"63","Oman",2447,11,495,63
"64","Afghanistan",2335,68,310,64
"65","Nigeria",2170,68,351,65
"66","Iraq",2153,94,1414,66
"67","Armenia",2148,33,977,67
"68","Uzbekistan",2086,9,1212,68
"69","Croatia",2085,75,1421,69
"70","Ghana",2074,17,212,70
"71","Azerbaijan",1854,25,1365,71
"72","Cameroon",1832,61,934,72
"73","Iceland",1798,10,1689,73
"74","Bosnia and Herzegovina",1781,70,755,74
"75","Estonia",1694,52,253,75
"76","Bulgaria",1555,68,276,76
"77","Cuba",1537,64,714,77
"78","Guinea",1537,7,342,78
"79","North Macedonia",1494,81,807,79
"80","New Zealand",1485,20,1263,80
"81","Lithuania",1449,45,594,81
"82","Slovenia",1434,92,233,82
"83","Slovakia",1403,23,558,83
"84","Ivory Coast",1333,15,597,84
"85","Bolivia",1229,66,134,85
"86","Djibouti",1097,2,672,86
"87","Hong Kong",1039,4,859,87
"88","Senegal",1024,9,356,88
"89","Tunisia",998,41,316,89
"90","Latvia",870,16,348,90
"91","Cyprus",857,15,296,91
"92","Kosovo",806,22,271,92
"93","Honduras",804,75,112,93
"94","Albania",782,31,488,94
"95","Kyrgyzstan",756,8,504,95
"96","Andorra",745,43,468,96
"97","Lebanon",729,24,192,97
"98","Niger",728,33,478,98
"99","Costa Rica",725,6,355,99
"100","Diamond Princess",712,13,645,100
"101","Others",712,8,567,101
"102","Sri Lanka",690,7,162,102
"103","Burkina Faso",649,44,517,103
"104","Uruguay",648,17,435,104
"105","Guatemala",644,16,72,105
"106","Congo (Kinshasa)",604,32,75,106
"107","Somalia",601,28,31,107
"108","San Marino",580,41,82,108
"109","Georgia",566,7,207,109
"110","Sudan",533,36,46,110
"111","Mali",508,26,196,111
"112","Maldives",491,1,17,112
"113","West Bank and Gaza",484,4,92,113
"114","Tanzania",480,16,167,114
"115","Malta",467,4,383,115
"116","Jordan",459,8,364,116
"117","Jamaica",432,8,31,117
"118","Taiwan",429,6,324,118
"119","El Salvador",424,10,124,119
"120","Kenya",411,21,150,120
"121","Venezuela",335,16,148,121
"122","Mauritius",334,10,312,122
"123","Paraguay",333,10,115,123
"124","Montenegro",322,7,233,124
"125","Equatorial Guinea",315,1,9,125
"126","Gabon",276,3,67,126
"127","Vietnam",270,0,225,127
"128","Guinea-Bissau",257,1,19,128
"129","Rwanda",249,0,109,129
"130","Congo (Brazzaville)",229,9,25,130
"131","Liberia",152,18,45,131
"132","Burma",151,6,31,132
"133","Brunei",138,1,124,133
"134","Sierra Leone",136,7,21,134
"135","Ethiopia",133,3,66,135
"136","Madagascar",132,0,94,136
"137","Togo",123,9,66,137
"138","Cabo Verde",122,1,18,138
"139","Cambodia",122,0,120,139
"140","Trinidad and Tobago",116,8,83,140
"141","Zambia",109,3,74,141
"142","Eswatini",106,1,12,142
"143","Monaco",95,4,73,143
"144","Benin",90,2,42,144
"145","Haiti",85,8,10,145
"146","Uganda",85,0,52,146
"147","Guyana",82,9,22,147
"148","Liechtenstein",82,1,55,148
"149","Bahamas",81,11,25,149
"150","Barbados",81,7,39,150
"151","Mozambique",79,0,12,151
"152","Chad",73,5,33,152
"153","Central African Republic",72,0,10,153
"154","Libya",63,3,18,154
"155","Nepal",59,0,16,155
"156","Guadeloupe",53,0,0,156
"157","Macau",45,0,35,157
"158","Reunion",45,0,0,158
"159","South Sudan",45,0,0,159
"160","Syria",44,3,27,160
"161","Zimbabwe",40,4,5,161
"162","Eritrea",39,0,26,162
"163","Mongolia",38,0,10,163
"164","Malawi",37,3,9,164
"165","Martinique",32,1,0,165
"166","Angola",30,2,11,166
"167","Antigua and Barbuda",25,3,15,167
"168","occupied Palestinian territory",25,0,0,168
"169","Timor-Leste",24,0,16,169
"170","Botswana",23,1,8,170
"171","Palestine",22,0,0,171
"172","Republic of Ireland",21,0,0,172
"173","Grenada",20,0,13,173
"174","Laos",19,0,8,174
"175","Belize",18,2,13,175
"176","Fiji",18,0,12,176
"177","French Guiana",18,0,6,177
"178","Saint Lucia",17,0,15,178
"179","Dominica",16,0,13,179
"180","Namibia",16,0,8,180
"181","Saint Vincent and the Grenadines",16,0,8,181
"182","Sao Tome and Principe",16,1,4,182
"183","Saint Kitts and Nevis",15,0,8,183
"184","Tajikistan",15,0,0,184
"185","Nicaragua",14,3,7,185
"186","Gambia",12,1,8,186
"187","Burundi",11,1,4,187
"188","Holy See",11,0,2,188
"189","Seychelles",11,0,6,189
"190","Suriname",10,1,8,190
"191","MS Zaandam",9,2,0,191
"192","Mauritania",8,1,6,192
"193","Papua New Guinea",8,0,0,193
"194","Bhutan",7,0,5,194
"195","Mayotte",7,0,0,195
"196","Yemen",7,2,1,196
"197","Western Sahara",6,0,5,197
"198","Aruba",4,0,0,198
"199","Bahamas, The",4,0,0,199
"200","Guam",3,0,0,200
"201","Puerto Rico",3,0,0,201
"202","Saint Barthelemy",3,0,0,202
"203","('St. Martin',)",2,0,0,203
"204","Faroe Islands",2,0,0,204
"205","Jersey",2,0,0,205
"206","St. Martin",2,0,0,206
"207"," Azerbaijan",1,0,0,207
"208","Cape Verde",1,0,0,208
"209","Cayman Islands",1,0,0,209
"210","Channel Islands",1,0,0,210
"211","Comoros",1,0,0,211
"212","Curacao",1,0,0,212
"213","East Timor",1,0,0,213
"214","Gambia, The",1,0,0,214
"215","Gibraltar",1,0,1,215
"216","Greenland",1,0,0,216
"217","Guernsey",1,0,0,217
"218","North Ireland",1,0,0,218
"219","Republic of the Congo",1,0,0,219
"220","The Bahamas",1,0,0,220
"221","The Gambia",1,0,0,221
"222","Vatican City",1,0,0,222
