"","Country.Region","Date","Confirmed","Deaths","Recovered","Rank"
"1","US",2020-01-22,1,0,0,1
"2","US",2020-01-23,1,0,0,1
"3","US",2020-01-24,2,0,0,1
"4","US",2020-01-25,2,0,0,1
"5","US",2020-01-26,5,0,0,1
"6","US",2020-01-27,5,0,0,1
"7","US",2020-01-28,5,0,0,1
"8","US",2020-01-29,5,0,0,1
"9","US",2020-01-30,5,0,0,1
"10","US",2020-01-31,6,0,0,1
"11","US",2020-02-01,8,0,0,1
"12","US",2020-02-02,8,0,0,1
"13","US",2020-02-03,11,0,0,1
"14","US",2020-02-04,11,0,0,1
"15","US",2020-02-05,12,0,0,1
"16","US",2020-02-06,12,0,0,1
"17","US",2020-02-07,12,0,0,1
"18","US",2020-02-08,12,0,0,1
"19","US",2020-02-09,12,0,3,1
"20","US",2020-02-10,12,0,3,1
"21","US",2020-02-11,13,0,3,1
"22","US",2020-02-12,13,0,3,1
"23","US",2020-02-13,15,0,3,1
"24","US",2020-02-14,15,0,3,1
"25","US",2020-02-15,15,0,3,1
"26","US",2020-02-16,15,0,3,1
"27","US",2020-02-17,15,0,3,1
"28","US",2020-02-18,15,0,3,1
"29","US",2020-02-19,15,0,3,1
"30","US",2020-02-20,15,0,3,1
"31","US",2020-02-21,35,0,5,1
"32","US",2020-02-22,35,0,5,1
"33","US",2020-02-23,35,0,5,1
"34","US",2020-02-24,53,0,5,1
"35","US",2020-02-25,53,0,6,1
"36","US",2020-02-26,59,0,6,1
"37","US",2020-02-27,60,0,6,1
"38","US",2020-02-28,62,0,7,1
"39","US",2020-02-29,70,1,7,1
"40","US",2020-03-01,76,1,7,1
"41","US",2020-03-02,101,6,7,1
"42","US",2020-03-03,122,7,8,1
"43","US",2020-03-04,153,11,8,1
"44","US",2020-03-05,221,12,8,1
"45","US",2020-03-06,278,14,8,1
"46","US",2020-03-07,417,17,8,1
"47","US",2020-03-08,537,21,8,1
"48","US",2020-03-09,605,22,8,1
"49","US",2020-03-10,959,28,8,1
"50","US",2020-03-11,1281,36,8,1
"51","US",2020-03-12,1663,40,12,1
"52","US",2020-03-13,2179,47,12,1
"53","US",2020-03-14,2726,54,12,1
"54","US",2020-03-15,3499,63,12,1
"55","US",2020-03-16,4632,85,17,1
"56","US",2020-03-17,6421,108,17,1
"57","US",2020-03-18,7786,118,106,1
"58","US",2020-03-19,13680,200,108,1
"59","US",2020-03-20,19101,244,147,1
"60","US",2020-03-21,25514,307,171,1
"61","US",2020-03-22,33848,427,0,1
"62","US",2020-03-23,43663,552,0,1
"63","US",2020-03-24,53736,706,348,1
"64","US",2020-03-25,65778,942,361,1
"65","US",2020-03-26,83836,1209,681,1
